ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet
159652,R-68213,"DSM 105287, LMG 29911",1,1,"Abditibacterium utsteinense",Abditibacterium,utsteinense
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,1,"Abiotrophia defectiva",Abiotrophia,defectiva
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,1,"Absicoccus porci",Absicoccus,porci
170183,MT3330,"MCCC 1K06012, KCTC 82823",1,1,"Abyssalbus ytuae",Abyssalbus,ytuae
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,1,"Abyssibacter profundi",Abyssibacter,profundi
170673,960558,"MCCC 1K04727, KCTC 82619",1,1,"Abyssibius alkaniclasticus",Abyssibius,alkaniclasticus
132558,,"DSM 29158, CCTCC AB 2014213, YIM M12140, JCM 30296",1,1,"Abyssicoccus albus",Abyssicoccus,albus
164056,,"JCM 31420, KCTC 15524",1,1,"Abyssisolibacter fermentans",Abyssisolibacter,fermentans
132478,L81,"DSM 29592, JCM 30920",1,1,"Vallitalea guaymasensis",Vallitalea,guaymasensis
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,1,"Acanthopleuribacter pedis",Acanthopleuribacter,pedis
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,1,"Acaricomes phytoseiuli",Acaricomes,phytoseiuli
160325,SAP-6,"DSM 104038, KCTC 52622",1,1,"Acerihabitans arboris",Acerihabitans,arboris
134101,Z7,"JCM 12359, AS 1.5012",1,1,"Acetanaerobacterium elongatum",Acetanaerobacterium,elongatum
18089,CT-m2,"DSM 23669, ATCC BAA-2170",1,1,"Acetatifactor muris",Acetatifactor,muris
164491,HSLZ-75,"JCM 33270, CICC 6269",1,1,"Acetilactobacillus jinshanensis",Acetilactobacillus,jinshanensis
6338,"12185, 139 B","DSM 5522, ATCC 43876",1,1,"Acetitomaculum ruminis",Acetitomaculum,ruminis
2764,P-1,"DSM 6159, ATCC 49358, OCM 112",1,1,"Acetivibrio aldrichii",Acetivibrio,aldrichii
2838,Z-7026,"DSM 17461, VKM B-2349",1,1,"Clostridium alkalicellulosi",Clostridium,alkalicellulosi
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,1,"Acetivibrio cellulolyticus",Acetivibrio,cellulolyticus
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,1,"Acetivibrio clariflavus",Acetivibrio,clariflavus
17675,77-6,"DSM 3005, ATCC 33324",1,1,"Acetivibrio ethanolgignens",Acetivibrio,ethanolgignens
157972,N2K1,"DSM 107956, CECT 9704",1,1,"Acetivibrio mesophilus",Acetivibrio,mesophilus
132679,GGR1,"DSM 101079, CECT 9155",1,1,"Acetivibrio saccincola",Acetivibrio,saccincola
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,1,"Acetivibrio straminisolvens",Acetivibrio,straminisolvens
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,1,"Acetivibrio thermocellus",Acetivibrio,thermocellus
168331,NOT-3,"ATCC 35199",1,1,"Acetoanaerobium noterae",Acetoanaerobium,noterae
