ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,Antibiotic resistance,Metabolite (antibiotic)
2,L 40,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,1,Acetobacter aceti,Acetobacter,aceti,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,1,Acetobacter cerevisiae,Acetobacter,cerevisiae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,1,Acetobacter cibinongensis,Acetobacter,cibinongensis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
16,21F-2,"DSM 15550, IFO 16606, JCM 1195, NBRC 16606, NRIC 0481, CIP 107379",1,1,Acetobacter orientalis,Acetobacter,orientalis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
11,,"DSM 11825, LTH 2458, CIP 105762",1,1,Acetobacter pomorum,Acetobacter,pomorum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,1,Acetobacter syzygii,Acetobacter,syzygii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
159212,N93,"DSM 106692, NCTC 14351, ATCC TSD-139",1,1,Acholeplasma equirhinis,Acholeplasma,equirhinis,1,penicillin g
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,1,Achromobacter denitrificans,Achromobacter,denitrificans,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,1,Achromobacter insolitus,Achromobacter,insolitus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,1,Achromobacter marplatensis,Achromobacter,marplatensis,1,d-serine
,,,,,,,,1,fusidate
,,,,,,,,1,nalidixic acid
,,,,,,,,1,niaproof
,,,,,,,,1,sodium butyrate
,,,,,,,,1,tetrazolium blue
,,,,,,,,1,troleandomycin
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,1,Achromobacter piechaudii,Achromobacter,piechaudii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
309,,"DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494",1,1,Achromobacter ruhlandii,Achromobacter,ruhlandii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,1,Achromobacter spanius,Achromobacter,spanius,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
