ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,Antibiotic sensitivity,Metabolite (antibiotic)
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,1,Achromobacter marplatensis,Achromobacter,marplatensis,1,sodium bromate
,,,,,,,,1,sodium chloride
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,1,Acidicapsa borealis,Acidicapsa,borealis,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,lincomycin
,,,,,,,,1,novobiocin
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,1,Acidicapsa dinghuensis,Acidicapsa,dinghuensis,1,chloramphenicol
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,erythromycin
,,,,,,,,1,neomycin
,,,,,,,,1,penicillin
,,,,,,,,1,polymyxin
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
,,,,,,,,1,tobramycin
,,,,,,,,1,vancomycin
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,1,Acidicapsa ligni,Acidicapsa,ligni,1,novobiocin
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,1,Acidiphilium cryptum,Acidiphilium,cryptum,1,chloramphenicol
,,,,,,,,1,chlortetracyclin
82,TPB606,"DSM 21000, VKM B-2487",1,1,Acidisoma sibiricum,Acidisoma,sibiricum,1,gentamicin
,,,,,,,,1,kanamycin
81,WM1,"DSM 19999, VKM B-2488",1,1,Acidisoma tundrae,Acidisoma,tundrae,1,chloramphenicol
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,streptomycin
2888,,"DSM 649, ATCC 11228, CCUG 2113, LMG 6221, LMG 2193, CCM 4561, CIP 103302, NCIMB 9938",1,1,Acidovorax facilis,Acidovorax,facilis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,1,Acidovorax konjaci,Acidovorax,konjaci,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
164592,WCHAc060005,"JCM 33509, CCTCC AB 2019139, GDMCC 1.1622",1,1,Acinetobacter chengduensis,Acinetobacter,chengduensis,1,amikacin
,,,,,,,,1,gentamicin
,,,,,,,,1,sulfamethoxazole
