ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,Cell width
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,1,Absicoccus porci,Absicoccus,porci,0.2-0.3
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,1,Abyssibacter profundi,Abyssibacter,profundi,0.4-0.6
132478,L81,"DSM 29592, JCM 30920",1,1,Vallitalea guaymasensis,Vallitalea,guaymasensis,0.5
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,1,Acanthopleuribacter pedis,Acanthopleuribacter,pedis,0.7-1
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,1,Acaricomes phytoseiuli,Acaricomes,phytoseiuli,0.5-0.8
134101,Z7,"JCM 12359, AS 1.5012",1,1,Acetanaerobacterium elongatum,Acetanaerobacterium,elongatum,0.3
164491,HSLZ-75,"JCM 33270, CICC 6269",1,1,Acetilactobacillus jinshanensis,Acetilactobacillus,jinshanensis,0.5-0.8
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,1,Acetivibrio clariflavus,Acetivibrio,clariflavus,0.4-0.5
,,,,,,,,0.45
132679,GGR1,"DSM 101079, CECT 9155",1,1,Acetivibrio saccincola,Acetivibrio,saccincola,0.2
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,1,Acetivibrio straminisolvens,Acetivibrio,straminisolvens,0.5-1.0
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,1,Acetobacter cerevisiae,Acetobacter,cerevisiae,1
23,"985, R-36330","DSM 19596, LMG 24244",1,1,Acetobacter fabarum,Acetobacter,fabarum,0.8
22,"430A, R-29337","DSM 18895, LMG 23848",1,1,Acetobacter ghanensis,Acetobacter,ghanensis,0.8
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,1,Acetobacter malorum,Acetobacter,malorum,0.9
132413,Bo7,"DSM 23824, CECT 7722",1,1,Acetobacter musti,Acetobacter,musti,1.2
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,1,Acetobacter nitrogenifigens,Acetobacter,nitrogenifigens,0.1-0.2
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,1,Acetobacter oeni,Acetobacter,oeni,0.8-0.9
