ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Colony size"
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,1,"Abyssibacter profundi",Abyssibacter,profundi,1-2
164491,HSLZ-75,"JCM 33270, CICC 6269",1,1,"Acetilactobacillus jinshanensis",Acetilactobacillus,jinshanensis,1-2
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,1,"Acetivibrio clariflavus",Acetivibrio,clariflavus,1-2
132679,GGR1,"DSM 101079, CECT 9155",1,1,"Acetivibrio saccincola",Acetivibrio,saccincola,1.0-2.0
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,1,"Acetivibrio straminisolvens",Acetivibrio,straminisolvens,1.0-2.0
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,1,"Acetobacter cerevisiae",Acetobacter,cerevisiae,0.3-0.5
23,"985, R-36330","DSM 19596, LMG 24244",1,1,"Acetobacter fabarum",Acetobacter,fabarum,0.8
22,"430A, R-29337","DSM 18895, LMG 23848",1,1,"Acetobacter ghanensis",Acetobacter,ghanensis,0.8
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,1,"Acetobacter malorum",Acetobacter,malorum,0.5
132413,Bo7,"DSM 23824, CECT 7722",1,1,"Acetobacter musti",Acetobacter,musti,0.5
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,1,"Acetobacter nitrogenifigens",Acetobacter,nitrogenifigens,2-3
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,1,"Acetobacter oeni",Acetobacter,oeni,1-2
11,,"DSM 11825, LTH 2458, CIP 105762",1,1,"Acetobacter pomorum",Acetobacter,pomorum,0.8-1.5
21,CWBI-B418,"DSM 18889, LMG 23690",1,1,"Acetobacter senegalensis",Acetobacter,senegalensis,0.6
