ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Kind of utilization tested,Utilization activity,Metabolite (utilization)
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,1,Absicoccus porci,fermentation,+,arabinose
,,,,,,fermentation,+,cellobiose
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,glycerol
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,mannose
,,,,,,fermentation,+,raffinose
,,,,,,fermentation,+,rhamnose
,,,,,,fermentation,+,trehalose
160325,SAP-6,"DSM 104038, KCTC 52622",1,1,Acerihabitans arboris,fermentation,+,D-glucose
6338,"12185, 139 B","DSM 5522, ATCC 43876",1,1,Acetitomaculum ruminis,fermentation,+,melibiose
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,1,Acetomicrobium mobile,fermentation,+,beta-d-glucose
,,,,,,fermentation,+,glycerol
,,,,,,fermentation,+,malate
,,,,,,fermentation,+,pyruvate
,,,,,,fermentation,+,tartrate
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,1,Acidaminococcus intestini,fermentation,+,L-glutamate
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,1,Acidibrevibacterium fodinaquatile,fermentation,+,glucose
12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,1,Acidipropionibacterium acidipropionici,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
130545,IGBL13,"DSM 25450, CECT 8062",1,1,Acidipropionibacterium damnosum,fermentation,+,D-mannose
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,1,Acidipropionibacterium jensenii,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
12656,M5,"DSM 13435, CIP 109962, CNCM I-2360",1,1,Acidipropionibacterium microaerophilum,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,1,Acidipropionibacterium thoenii,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannose
,,,,,,fermentation,+,D-ribose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,sucrose
23868,NF 1078,"DSM 27981, CCUG 62584, LMG 26971",1,1,Acidovorax wautersii,fermentation,+,D-glucose
,,,,,,fermentation,+,melibiose
130449,SAP284.1,"DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548, SAP 284.1",1,1,Acinetobacter boissieri,fermentation,+,D-glucose
8057,,"DSM 30006, ATCC 23055, CIP 81.08, CIP 81.8, LMD 22.16, CCUG 12804, LMG 1046, IFO 13718, Delft L360, JCM 6842, CECT 441, IAM 12087, KCTC 2357, LMG 10511, NBIMCC 3730, NBRC 13718, NCCB 22016, NCIMB 10694, NCTC 12983, VTT E-981117, LMD 98116",1,1,Acinetobacter calcoaceticus,fermentation,+,D-glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,melibiose
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,1,Acinetobacter nectaris,fermentation,+,D-glucose
132199,Gerner-Smidt 10090,"DSM 102854, CCM 8535, CCUG 34785, CIP 110471, NIPH 973, NIPH 973 (<Gerner-Smidt 10090)",1,1,Acinetobacter seifertii,fermentation,+,D-glucose
13195,,"DSM 45655, CGMCC 4.5714, NBRC 106685, NEAU 119, JCM 18314",1,1,Actinoalloteichus nanshanensis,fermentation,+,glycogen
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,1,Actinobaculum suis,fermentation,+,D-ribose
,,,,,,fermentation,+,D-xylose
,,,,,,fermentation,+,glycogen
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,starch
177,"M1327/95/1, M1327/96/1","DSM 15435, CCUG 37421, CIP 106647",1,1,Actinomyces bowdenii,fermentation,+,glucose
,,,,,,fermentation,+,melezitose
,,,,,,fermentation,+,sucrose
175,M1192/98/1,"DSM 15415, CCUG 41709, CIP 106507",1,1,Actinomyces catuli,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannose
,,,,,,fermentation,+,D-ribose
,,,,,,fermentation,+,D-xylose
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,raffinose
,,,,,,fermentation,+,ribose
,,,,,,fermentation,+,sucrose
189,R18165,"DSM 19115, CCUG 48064, CIP 108337, KCTC 15232",1,1,Actinomyces dentalis,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
159,2-606-032,"DSM 6844, ATCC 23860, CDC W838, CIP 105418, JCM 12963, VPI 12594, CCUG 32936, CCUG 34703",1,1,Actinomyces gerencseriae,fermentation,+,D-arabinose
186,,"DSM 15540, CCUG 27294, CIP 105737, CCM 4739",1,1,Actinomyces graevenitzii,fermentation,+,D-glucose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,sucrose
151,Jr 277 (CDC W855),"DSM 43320, ATCC 12102, JCM 12964, CCUG 18307, IMET 10792, CCUG 2271, NIH 277, WVU 46, CIP 103259, KCTC 15377, NCTC 12972",1,1,Actinomyces israelii,fermentation,+,raffinose
,,,,,,fermentation,+,sucrose
190,"genospecies WVA 963, genospecies(serotype) WVA 963","DSM 23038, ATCC 49338, CCUG 34287, KCTC 15157, VPI D135D-26, JCM 16129",1,1,Actinomyces johnsonii,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
154,,"DSM 43013, ATCC 12104, CCUG 2238, NCTC 10301, CDC W826, JCM 8349, NIH 279, WVU 45, CCUG 18310, CIP 103128",1,1,Actinomyces naeslundii,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,raffinose
,,,,,,fermentation,+,sucrose
191,W1053,"DSM 23056, ATCC 27044, CCUG 34288, WVU 474, JCM 16131",1,1,Actinomyces oris,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
159350,410,"DSM 106201, CGMCC 1.16361",1,1,Actinomyces qiguomingii,fermentation,+,glucose
176,AO 96-06841,"DSM 15433, CCUG 36733, CIP 106352",1,1,Actinomyces radicidentis,fermentation,+,D-fructose
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,D-mannose
,,,,,,fermentation,+,D-ribose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,N-acetylglucosamine
,,,,,,fermentation,+,raffinose
,,,,,,fermentation,+,sucrose
23522,B71,"DSM 27982, CGMCC 1.5030, JCM 13352, CIP 109388, CGMCC 15030",1,1,Actinomyces ruminicola,fermentation,+,D-fructose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,D-mannose
,,,,,,fermentation,+,sucrose
,,,,,,fermentation,+,turanose
193,7400942,"KCTC 15137, DSM 23838, CCUG 55928, CSUR P35",1,1,Actinomyces timonensis,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
178,,"DSM 15434, CCUG 38702, CIP 106421",1,1,Actinomyces urogenitalis,fermentation,+,D-arabitol
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannose
,,,,,,fermentation,+,D-ribose
,,,,,,fermentation,+,D-xylose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,melezitose
,,,,,,fermentation,+,raffinose
,,,,,,fermentation,+,sucrose
157,,"DSM 43327, ATCC 15987, CCUG 14476, NCTC 10951, WVU 745, NIH T-6, JCM 8353, CCUG 35450, CECT 488, CIP 103147, KCTC 15382, NBIMCC 71",1,1,Actinomyces viscosus,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,raffinose
,,,,,,fermentation,+,sucrose
13505,IY07-55,"DSM 45774, KACC 14251, NBRC 105528, JCM 17983",1,1,Actinomycetospora straminea,fermentation,+,D-ribose
13513,ID 06-A0464,"DSM 45659, BTCC B-674, NBRC 105525",1,1,Actinophytocola corallinus,fermentation,+,glycogen
23114,Y16,"DSM 45850, CGMCC 4.6857, JCM 17700",1,1,Actinoplanes atraurantiacus,fermentation,+,D-glucose
164277,,"JCM 32512, CGMCC 4.7580, LAM 7112",1,1,Actinoplanes solisilvae,fermentation,+,D-glucose
7844,MN07-A0371,"DSM 45572, NBRC 105297, VTCC D9-10",1,1,Actinoplanes tereljensis,fermentation,+,D-mannitol
,,,,,,fermentation,+,sucrose
2385,M,"DSM 3133, ATCC 43279, CFBP 4259, CIP 103003, JCM 9966, LMG 16154, NBRC 105374, NBRC 15517, BCRC 14866, IFO 15517, KCTC 3251, LMG 17239",1,1,Actinotalea fermentans,fermentation,+,lactose
130140,IMMIBL-2199,"DSM 26039, CCUG 64068",1,1,Actinotignum sanguinis,fermentation,+,D-glucose
,,,,,,fermentation,+,D-ribose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,sucrose
146,R9242,"KCTC 15231, DSM 15805, CCUG 46093, CIP 107424",1,1,Actinotignum urinale,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
221,M1,"DSM 20340, ATCC 11563, CCM 1914, IAM 13649, JCM 20461, NCDO 1225, NCTC 8251, WDCM 00061, CCUG 4311, CIP 54.145, IAM 12302, IFO 12219, LMG 17931, NBRC 12219, NISL 7400, IMET 11154, NCIMB 11775, CECT 978",1,1,Aerococcus viridans,fermentation,+,D-fructose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,D-mannose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,sucrose
11058,KSL-107,"DSM 16824, CIP 108938, JCM 13518, KCTC 19073, BCRC 16830",1,1,Aeromicrobium alkaliterrae,fermentation,+,sucrose
11064,"TYLN1, TYLNI","DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625, CIP 110459",1,1,Aeromicrobium flavum,fermentation,+,sucrose
257,289,"DSM 11576, ATCC 51208, CECT 4199, CCUG 47180 A, CIP 104616",1,1,Aeromonas allosaccharophila,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,sucrose
131439,AE235,"DSM 100827, CECT 8025, LMG 26712",1,1,Aeromonas aquatica,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-rhamnose
260,218,"CCUG 41859, CIP 74.30, DSM 13956, ATCC 51108, CIP 7430, LMG 13444",1,1,Aeromonas bestiarum,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,sucrose
280,868E,"DSM 19111, CECT 7113, LMG 23376, CIP 109539",1,1,Aeromonas bivalvium,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,sucrose
253,B-968,"DSM 7323, ATCC 15468, NRRL B-968, WDCM 00062, NCTC 12244, JCM 1060, BCRC 16001, CCM 4491, CCUG 25939, CECT 838, CGMCC 1.1960, CIP 76.16, GTC 00465, LMG 12160, LMG 3775, NCAIM B.01931, NCIMB 13016, CIP 110812",1,1,Aeromonas caviae,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,sucrose
269,P21,"DSM 17689, CCM 7146, CCUG 45377, CIP 107500, LMG 19562",1,1,Aeromonas dhakensis,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,sucrose
258,"S181, S-181","DSM 11577, CECT 4342, LMG 16330, CIP 104608, ATCC 51929",1,1,Aeromonas encheleia,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,sucrose
248,J11,"DSM 6394, ATCC 49803, JCM 8355, CECT 4487, CIP 104434, LMG 12646, NCIMB 13209",1,1,Aeromonas enteropelogenes,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
265,"546, CDC-RH63","DSM 17534, ATCC 23309, CCEB 704, CCTM 885, CDC RH63, CIP 76.17, LMG 3774, NCIMB 74, JCM 8238, BCRC 13017, BCRC 14134, CCM 4354, CCUG 25942, CCUG 30340, CECT 4224, CNCTC 5356",1,1,Aeromonas eucrenophila,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,mannitol
131440,4287D,"DSM 100828, CECT 8028, LMG 26709",1,1,Aeromonas finlandensis,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,myo-inositol
241,"NCIMB(QC) 50013, 543","DSM 30187, ATCC 7966, LMG 2844, NCDC 359-60, NCMB 86, NCTC 8049, WDCM 00063, CCUG 14551, CIP 76.14, JCM 1027, BCRC 13018, CCM 7232, CDC 359-60, CECT 839, HAMBI 1847, IAM 12337, IAM 12460, KCTC 2358, LMG 12156, LMG 13439, NCAIM B.01923, NCIMB 9240",1,1,Aeromonas hydrophila subsp. hydrophila,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,sucrose
