ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Flagellum arrangement"
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,1,"Abyssibacter profundi",Abyssibacter,profundi,polar
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,1,"Acanthopleuribacter pedis",Acanthopleuribacter,pedis,peritrichous
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,1,"Acetivibrio clariflavus",Acetivibrio,clariflavus,peritrichous
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,1,"Acetobacter nitrogenifigens",Acetobacter,nitrogenifigens,polar
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,1,"Acetobacter oeni",Acetobacter,oeni,peritrichous
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,1,"Acetomicrobium mobile",Acetomicrobium,mobile,"monotrichous, polar"
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,1,"Achromobacter aloeverae",Achromobacter,aloeverae,peritrichous
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,1,"Acidiphilium cryptum",Acidiphilium,cryptum,lophotrichous
,,,,,,,,"monotrichous, polar"
160797,MG,"DSM 107098, JCM 33084",1,1,"Acidithiobacillus ferrianus",Acidithiobacillus,ferrianus,polar
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,1,"Acidovorax kalamii",Acidovorax,kalamii,polar
141055,LS-811,"BCRC 80823, JCM 30681",1,1,"Actibacterium ureilyticum",Actibacterium,ureilyticum,monotrichous
280,868E,"DSM 19111, CECT 7113, LMG 23376, CIP 109539",1,1,"Aeromonas bivalvium",Aeromonas,bivalvium,"monotrichous, polar"
283,717,"DSM 23621, CECT 7401, LMG 24681, CIP 110205",1,1,"Aeromonas fluvialis",Aeromonas,fluvialis,"monotrichous, polar"
262,"848T, 848","DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,1,"Aeromonas molluscorum",Aeromonas,molluscorum,"monotrichous, polar"
288,WB4.1-19,"DSM 22539, CECT 7518, MDC 2511, CIP 110301",1,1,"Aeromonas rivuli",Aeromonas,rivuli,"monotrichous, polar"
