ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Incubation period (in days)"
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,1,"Abyssibacter profundi",Abyssibacter,profundi,"3 days"
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,1,"Acanthopleuribacter pedis",Acanthopleuribacter,pedis,"3-7 days"
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,1,"Acaricomes phytoseiuli",Acaricomes,phytoseiuli,"10-14 days"
164491,HSLZ-75,"JCM 33270, CICC 6269",1,1,"Acetilactobacillus jinshanensis",Acetilactobacillus,jinshanensis,"7 days"
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,1,"Acetivibrio cellulolyticus",Acetivibrio,cellulolyticus,"8-14 days"
2,"L 40","DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,1,"Acetobacter aceti",Acetobacter,aceti,"1 day"
23,"985, R-36330","DSM 19596, LMG 24244",1,1,"Acetobacter fabarum",Acetobacter,fabarum,"3 days"
22,"430A, R-29337","DSM 18895, LMG 23848",1,1,"Acetobacter ghanensis",Acetobacter,ghanensis,"4 days"
132413,Bo7,"DSM 23824, CECT 7722",1,1,"Acetobacter musti",Acetobacter,musti,"4 days"
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,1,"Acetobacter nitrogenifigens",Acetobacter,nitrogenifigens,"5 days"
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,1,"Acetobacter oeni",Acetobacter,oeni,"4 days"
21,CWBI-B418,"DSM 18889, LMG 23690",1,1,"Acetobacter senegalensis",Acetobacter,senegalensis,"1 day"
5978,Z-7288,"DSM 5501, ATCC 49924",1,1,"Acetohalobium arabaticum",Acetohalobium,arabaticum,"3-7 days"
159212,N93,"DSM 106692, NCTC 14351, ATCC TSD-139",1,1,"Acholeplasma equirhinis",Acholeplasma,equirhinis,"5-7 days"
