ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Motility
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,1,Abiotrophia defectiva,0
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,1,Absicoccus porci,0
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,1,Abyssibacter profundi,1
132478,L81,"DSM 29592, JCM 30920",1,1,Vallitalea guaymasensis,1
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,1,Acanthopleuribacter pedis,1
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,1,Acaricomes phytoseiuli,0
134101,Z7,"JCM 12359, AS 1.5012",1,1,Acetanaerobacterium elongatum,1
164491,HSLZ-75,"JCM 33270, CICC 6269",1,1,Acetilactobacillus jinshanensis,0
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,1,Acetivibrio clariflavus,0
157972,N2K1,"DSM 107956, CECT 9704",1,1,Acetivibrio mesophilus,0
132679,GGR1,"DSM 101079, CECT 9155",1,1,Acetivibrio saccincola,0
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,1,Acetivibrio straminisolvens,0
2,L 40,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,1,Acetobacter aceti,0
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,1,Acetobacter cerevisiae,0
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,1,Acetobacter cibinongensis,0
23,"985, R-36330","DSM 19596, LMG 24244",1,1,Acetobacter fabarum,1
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,1,Acetobacter malorum,0
132413,Bo7,"DSM 23824, CECT 7722",1,1,Acetobacter musti,1
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,1,Acetobacter nitrogenifigens,1
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,1,Acetobacter oeni,1
16,21F-2,"DSM 15550, IFO 16606, JCM 1195, NBRC 16606, NRIC 0481, CIP 107379",1,1,Acetobacter orientalis,0
11,,"DSM 11825, LTH 2458, CIP 105762",1,1,Acetobacter pomorum,0
21,CWBI-B418,"DSM 18889, LMG 23690",1,1,Acetobacter senegalensis,1
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,1,Acetobacter syzygii,1
17779,OS1,"DSM 22491, ATCC BAA-1850",1,1,Acetomicrobium hydrogeniformans,0
,,,,,,1
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,1,Acetomicrobium mobile,0
,,,,,,1
17778,RWcit2,"DSM 13490, ACM 5076",1,1,Acetomicrobium thermoterrenum,1
135224,FC 097-2,"CIP 107001, ATCC 700667",1,1,Acholeplasma vituli,0
156528,"LiPuma AU4014, Vandamme R-31134","CCUG 62438, LMG 26852, CIP 110713",1,1,Achromobacter aegrifaciens,0
140509,,"LMG 3411, CCUG 62454",1,1,Achromobacter agilis,1
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,1,Achromobacter aloeverae,1
130142,"AU15230, AU 15230, R-46662","DSM 29601, CCUG 61966, LMG 26690, CIP 110841",1,1,Achromobacter animicus,1
156534,"Vandamme R-47433, LiPuma AU11412","CCUG 62444, LMG 26857, CIP 110712",1,1,Achromobacter anxifer,1
140506,,"LMG 3458, CCUG 62433",1,1,Achromobacter deleyi,1
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,1,Achromobacter denitrificans,1
134918,"Vandamme R-47430, LiPuma AU4012","CIP 110711, LMG 26840, CCUG 62421",1,1,Achromobacter dolens,1
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,1,Achromobacter insolitus,1
136698,"LiPuma AU15210, Vandamme R-47438","CIP 110710, LMG 26845, CCUG 62426",1,1,Achromobacter insuavis,1
140507,,"CCUG 62449, LMG 3441",1,1,Achromobacter kerstersii,1
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,1,Achromobacter marplatensis,0
130143,"AU 13054, R-46658","DSM 29602, LMG 26685, CCUG 61961, CIP 110844",1,1,Achromobacter mucicolens,1
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,1,Achromobacter pestifer,1
