ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,"Kind of pH","Testresult (pH)",pH
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,1,"Absicoccus porci",Absicoccus,growth,positive,5.5-9
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,1,"Abyssibacter profundi",Abyssibacter,growth,positive,7.0-9.0
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,1,"Acanthopleuribacter pedis",Acanthopleuribacter,growth,positive,05-09
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,1,"Acaricomes phytoseiuli",Acaricomes,growth,positive,6-9.5
134101,Z7,"JCM 12359, AS 1.5012",1,1,"Acetanaerobacterium elongatum",Acetanaerobacterium,growth,positive,5-7.5
164491,HSLZ-75,"JCM 33270, CICC 6269",1,1,"Acetilactobacillus jinshanensis",Acetilactobacillus,growth,positive,3-5
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,1,"Acetivibrio clariflavus",Acetivibrio,growth,positive,6-8
,,,,,,,growth,positive,6.0-8.0
157972,N2K1,"DSM 107956, CECT 9704",1,1,"Acetivibrio mesophilus",Acetivibrio,growth,positive,6-8
132679,GGR1,"DSM 101079, CECT 9155",1,1,"Acetivibrio saccincola",Acetivibrio,growth,positive,6.5-9.0
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,1,"Acetivibrio straminisolvens",Acetivibrio,growth,positive,6.0-8.5
17779,OS1,"DSM 22491, ATCC BAA-1850",1,1,"Acetomicrobium hydrogeniformans",Acetomicrobium,growth,positive,06-09
,,,,,,,growth,positive,6-9
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,1,"Acetomicrobium mobile",Acetomicrobium,growth,positive,5.4-8.7
17778,RWcit2,"DSM 13490, ACM 5076",1,1,"Acetomicrobium thermoterrenum",Acetomicrobium,growth,positive,5.5-8.6
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,1,"Achromobacter aloeverae",Achromobacter,growth,positive,6.0-9.0
168915,,"LMG 30378, CCUG 71558",1,1,"Achromobacter veterisilvae",Achromobacter,growth,positive,6.0-8.0
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,1,"Acidibrevibacterium fodinaquatile",Acidibrevibacterium,growth,positive,2.5-5
133383,SK-11,"DSM 100508, NBRC 111227",1,1,"Acidicapsa acidisoli",Acidicapsa,growth,positive,4.0-5.5
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,1,"Acidicapsa dinghuensis",Acidicapsa,growth,positive,4-6.5
6149,V6,"DSM 14174, JCM 32253",1,1,"Acidihalobacter aeolianus",Acidihalobacter,growth,positive,1.5-3
24820,V8,"DSM 14175, JCM 32254",1,1,"Acidihalobacter ferrooxydans",Acidihalobacter,growth,positive,1-3
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,1,"Acidimangrovimonas sediminis",Acidimangrovimonas,growth,positive,3.6-7.5
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,1,"Acidiphilium cryptum",Acidiphilium,growth,positive,1.9-5.9
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,1,"Silvibacterium dinghuense",Silvibacterium,growth,positive,3.5-8
158421,JS278,"DSM 106790, VTT E-113202",1,1,"Acidipropionibacterium virtanenii",Acidipropionibacterium,growth,positive,5-9
82,TPB606,"DSM 21000, VKM B-2487",1,1,"Acidisoma sibiricum",Acidisoma,growth,positive,3.7-7.6
81,WM1,"DSM 19999, VKM B-2488",1,1,"Acidisoma tundrae",Acidisoma,growth,positive,3.0-7.5
159192,CJ-2,"DSM 105150, KCTC 4683",1,1,"Acidithiobacillus sulfuriphilus",Acidithiobacillus,growth,positive,1.8-7.0
133033,PMMR2,"DSM 27394, LMG 28340",1,1,"Acidobacterium ailaaui",Acidobacterium,growth,positive,4.5-7.0
133532,AL46,"NBRC 104303, DSM 108313, VTCC D9-1",1,1,"Acidocella aluminiidurans",Acidocella,growth,positive,03-07
158255,Ok2G,"DSM 104037, NBRC 112502",1,1,"Acidocella aquatica",Acidocella,growth,positive,3-6.2
140650,11B,"ATCC 43068",1,1,"Acidothermus cellulolyticus",Acidothermus,growth,positive,4-6
2903,R-24608,"DSM 19327, LMG 24103",1,1,"Acidovorax caeni",Acidovorax,growth,positive,5.5-10.5
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,1,"Acidovorax kalamii",Acidovorax,growth,positive,6.0-8.0
2905,N35,"DSM 23535, LMG 25767",1,1,"Acidovorax radicis",Acidovorax,growth,positive,5.0-9.0
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,1,"Acidovorax soli",Acidovorax,growth,positive,06-09
