ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Salt conc."
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,1,"Abiotrophia defectiva",Abiotrophia,defectiva,6.5
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,1,"Absicoccus porci",Absicoccus,porci,1-2
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,1,"Abyssibacter profundi",Abyssibacter,profundi,0-7
,,,,,,,,2-3
132478,L81,"DSM 29592, JCM 30920",1,1,"Vallitalea guaymasensis",Vallitalea,guaymasensis,0.5-6
,,,,,,,,3
134101,Z7,"JCM 12359, AS 1.5012",1,1,"Acetanaerobacterium elongatum",Acetanaerobacterium,elongatum,0-2
,,,,,,,,1
164491,HSLZ-75,"JCM 33270, CICC 6269",1,1,"Acetilactobacillus jinshanensis",Acetilactobacillus,jinshanensis,0
,,,,,,,,0-5
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,1,"Acetivibrio clariflavus",Acetivibrio,clariflavus,0-0.7
,,,,,,,,0.4
157972,N2K1,"DSM 107956, CECT 9704",1,1,"Acetivibrio mesophilus",Acetivibrio,mesophilus,1.8
132679,GGR1,"DSM 101079, CECT 9155",1,1,"Acetivibrio saccincola",Acetivibrio,saccincola,0-2.0
,,,,,,,,0.2
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,1,"Acetobacter cerevisiae",Acetobacter,cerevisiae,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,1,"Acetobacter cibinongensis",Acetobacter,cibinongensis,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,1,"Acetobacter malorum",Acetobacter,malorum,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
16,21F-2,"DSM 15550, IFO 16606, JCM 1195, NBRC 16606, NRIC 0481, CIP 107379",1,1,"Acetobacter orientalis",Acetobacter,orientalis,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
11,,"DSM 11825, LTH 2458, CIP 105762",1,1,"Acetobacter pomorum",Acetobacter,pomorum,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,1,"Acetobacter syzygii",Acetobacter,syzygii,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
17779,OS1,"DSM 22491, ATCC BAA-1850",1,1,"Acetomicrobium hydrogeniformans",Acetomicrobium,hydrogeniformans,0.8-7
,,,,,,,,0.8-70
,,,,,,,,10
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,1,"Acetomicrobium mobile",Acetomicrobium,mobile,0-1.5
,,,,,,,,0-15
,,,,,,,,0.08
,,,,,,,,0.8
17778,RWcit2,"DSM 13490, ACM 5076",1,1,"Acetomicrobium thermoterrenum",Acetomicrobium,thermoterrenum,0-20
,,,,,,,,10
140509,,"LMG 3411, CCUG 62454",1,1,"Achromobacter agilis",Achromobacter,agilis,3
,,,,,,,,4.5
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,1,"Achromobacter aloeverae",Achromobacter,aloeverae,4
,,,,,,,,5
140506,,"LMG 3458, CCUG 62433",1,1,"Achromobacter deleyi",Achromobacter,deleyi,3
,,,,,,,,4.5
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,1,"Achromobacter denitrificans",Achromobacter,denitrificans,0-6
,,,,,,,,10
,,,,,,,,8
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,1,"Achromobacter insolitus",Achromobacter,insolitus,0-6
,,,,,,,,10
,,,,,,,,4.5
,,,,,,,,8
140507,,"CCUG 62449, LMG 3441",1,1,"Achromobacter kerstersii",Achromobacter,kerstersii,3
,,,,,,,,4.5
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,1,"Achromobacter marplatensis",Achromobacter,marplatensis,3
,,,,,,,,6
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,1,"Achromobacter pestifer",Achromobacter,pestifer,3
,,,,,,,,4.5
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,1,"Achromobacter piechaudii",Achromobacter,piechaudii,0-6
,,,,,,,,10
,,,,,,,,8
