ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Ability of spore formation"
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,1,"Absicoccus porci",Absicoccus,porci,0
132478,L81,"DSM 29592, JCM 30920",1,1,"Vallitalea guaymasensis",Vallitalea,guaymasensis,0
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,1,"Acanthopleuribacter pedis",Acanthopleuribacter,pedis,0
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,1,"Acaricomes phytoseiuli",Acaricomes,phytoseiuli,0
134101,Z7,"JCM 12359, AS 1.5012",1,1,"Acetanaerobacterium elongatum",Acetanaerobacterium,elongatum,0
164491,HSLZ-75,"JCM 33270, CICC 6269",1,1,"Acetilactobacillus jinshanensis",Acetilactobacillus,jinshanensis,0
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,1,"Acetivibrio clariflavus",Acetivibrio,clariflavus,1
157972,N2K1,"DSM 107956, CECT 9704",1,1,"Acetivibrio mesophilus",Acetivibrio,mesophilus,1
132679,GGR1,"DSM 101079, CECT 9155",1,1,"Acetivibrio saccincola",Acetivibrio,saccincola,1
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,1,"Acetivibrio straminisolvens",Acetivibrio,straminisolvens,1
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,1,"Acetivibrio thermocellus",Acetivibrio,thermocellus,1
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,1,"Acetobacter cerevisiae",Acetobacter,cerevisiae,0
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,1,"Acetobacter malorum",Acetobacter,malorum,0
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,1,"Acetobacter oeni",Acetobacter,oeni,0
21,CWBI-B418,"DSM 18889, LMG 23690",1,1,"Acetobacter senegalensis",Acetobacter,senegalensis,0
17779,OS1,"DSM 22491, ATCC BAA-1850",1,1,"Acetomicrobium hydrogeniformans",Acetomicrobium,hydrogeniformans,0
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,1,"Acetomicrobium mobile",Acetomicrobium,mobile,0
17778,RWcit2,"DSM 13490, ACM 5076",1,1,"Acetomicrobium thermoterrenum",Acetomicrobium,thermoterrenum,0
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,1,"Achromobacter aloeverae",Achromobacter,aloeverae,0
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,1,"Acidaminococcus intestini",Acidaminococcus,intestini,0
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,1,"Acidibrevibacterium fodinaquatile",Acidibrevibacterium,fodinaquatile,0
133383,SK-11,"DSM 100508, NBRC 111227",1,1,"Acidicapsa acidisoli",Acidicapsa,acidisoli,0
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,1,"Acidicapsa dinghuensis",Acidicapsa,dinghuensis,0
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,1,"Acidiphilium cryptum",Acidiphilium,cryptum,0
130544,IGBL1,"DSM 25436, CECT 8061, KCTC 15514",1,1,"Acidipropionibacterium olivae",Acidipropionibacterium,olivae,0
82,TPB606,"DSM 21000, VKM B-2487",1,1,"Acidisoma sibiricum",Acidisoma,sibiricum,0
81,WM1,"DSM 19999, VKM B-2488",1,1,"Acidisoma tundrae",Acidisoma,tundrae,0
160797,MG,"DSM 107098, JCM 33084",1,1,"Acidithiobacillus ferrianus",Acidithiobacillus,ferrianus,0
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,1,"Acidithiobacillus ferridurans",Acidithiobacillus,ferridurans,0
132357,M20,"DSM 100412, JCM 30830",1,1,"Acidithiobacillus ferriphilus",Acidithiobacillus,ferriphilus,0
159192,CJ-2,"DSM 105150, KCTC 4683",1,1,"Acidithiobacillus sulfuriphilus",Acidithiobacillus,sulfuriphilus,0
133033,PMMR2,"DSM 27394, LMG 28340",1,1,"Acidobacterium ailaaui",Acidobacterium,ailaaui,0
133532,AL46,"NBRC 104303, DSM 108313, VTCC D9-1",1,1,"Acidocella aluminiidurans",Acidocella,aluminiidurans,0
158255,Ok2G,"DSM 104037, NBRC 112502",1,1,"Acidocella aquatica",Acidocella,aquatica,0
2903,R-24608,"DSM 19327, LMG 24103",1,1,"Acidovorax caeni",Acidovorax,caeni,0
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,1,"Acidovorax kalamii",Acidovorax,kalamii,0
130449,SAP284.1,"DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548, SAP 284.1",1,1,"Acinetobacter boissieri",Acinetobacter,boissieri,0
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,1,"Acinetobacter defluvii",Acinetobacter,defluvii,0
140631,,"CCUG 68785, NRRL B-41902",1,1,"Acinetobacter lactucae",Acinetobacter,lactucae,0
