"","ID","designation_header","strain_number_header","is_type_strain_header","is_type_strain","species","Temperature_for_growth"
"1",159652,"R-68213","DSM 105287, LMG 29911",1,1,"Abditibacterium utsteinense","20"
"2",219,"","DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,1,"Abiotrophia defectiva","25-41"
"3",NA,"","",NA,NA,"","37"
"4",164352,"YH-panp20","JCM 32769, KCTC 15747, KCTC 1574",1,1,"Absicoccus porci","30-40"
"5",NA,"","",NA,NA,"","37"
"6",159837,"OUC007","KCTC 52933, MCCC 1K03450, JCM 32025",1,1,"Abyssibacter profundi","10-45"
"7",NA,"","",NA,NA,"","37"
"8",132558,"","DSM 29158, CCTCC AB 2014213, YIM M12140, JCM 30296",1,1,"Abyssicoccus albus","28"
"9",164056,"","JCM 31420, KCTC 15524",1,1,"Abyssisolibacter fermentans","30"
"10",132478,"L81","DSM 29592, JCM 30920",1,1,"Vallitalea guaymasensis","15-42"
"11",NA,"","",NA,NA,"","37"
"12",24718,"FYK2218","DSM 28897, KCTC 12899, NBRC 101209",1,1,"Acanthopleuribacter pedis","15-30"
"13",NA,"","",NA,NA,"","25"
"14",7517,"CSC","DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,1,"Acaricomes phytoseiuli","15-30"
"15",NA,"","",NA,NA,"","25"
"16",NA,"","",NA,NA,"","30"
"17",160325,"SAP-6","DSM 104038, KCTC 52622",1,1,"Acerihabitans arboris","28"
"18",134101,"Z7","JCM 12359, AS 1.5012",1,1,"Acetanaerobacterium elongatum","20-42"
"19",18089,"CT-m2","DSM 23669, ATCC BAA-2170",1,1,"Acetatifactor muris","37"
"20",164491,"HSLZ-75","JCM 33270, CICC 6269",1,1,"Acetilactobacillus jinshanensis","20-40"
"21",NA,"","",NA,NA,"","37"
"22",6338,"12185, 139 B","DSM 5522, ATCC 43876",1,1,"Acetitomaculum ruminis","37"
"23",2764,"P-1","DSM 6159, ATCC 49358, OCM 112",1,1,"Acetivibrio aldrichii","35"
"24",2838,"Z-7026","DSM 17461, VKM B-2349",1,1,"Clostridium alkalicellulosi","35"
"25",17674,"CD2","DSM 1870, ATCC 33288, NRC 2248",1,1,"Acetivibrio cellulolyticus","37"
"26",2853,"EBR-02E-0045","DSM 19732, NBRC 101661, EBR 45",1,1,"Acetivibrio clariflavus","45-65"
"27",NA,"","",NA,NA,"","55"
"28",17675,"77-6","DSM 3005, ATCC 33324",1,1,"Acetivibrio ethanolgignens","37"
"29",157972,"N2K1","DSM 107956, CECT 9704",1,1,"Acetivibrio mesophilus","30-50"
"30",NA,"","",NA,NA,"","45"
"31",132679,"GGR1","DSM 101079, CECT 9155",1,1,"Acetivibrio saccincola","45-65"
"32",NA,"","",NA,NA,"","55"
"33",2827,"CSK1","DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,1,"Acetivibrio straminisolvens","50"
"34",2729,"","DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,1,"Acetivibrio thermocellus","55"
"35",NA,"","",NA,NA,"","60"
"36",131392,"ST07-YE","DSM 27512, JCM 19400",1,1,"Acetoanaerobium pronyense","35"
"37",2717,"HF","DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654, BCRC 14485",1,1,"Acetoanaerobium sticklandii","35"
"38",NA,"","",NA,NA,"","37"
"39",2,"L 40","DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,1,"Acetobacter aceti","22-30"
"40",NA,"","",NA,NA,"","25"
"41",NA,"","",NA,NA,"","30"
"42",163302,"","JCM 25076, LMG 1590",1,1,"Acetobacter pasteurianus","30"
"43",12,"","DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,1,"Acetobacter cerevisiae","22-41"
"44",NA,"","",NA,NA,"","28"
"45",NA,"","",NA,NA,"","30"
"46",15,"4H-1","DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,1,"Acetobacter cibinongensis","22-41"
"47",NA,"","",NA,NA,"","30"
"48",10,"","DSM 4493, ATCC 23753, CCUG 18130, IAM 14359, LMG 1626, NCIMB 8935, JCM 21172, BCRC 12953, CCM 3613, IFO 13751, NBRC 13751",1,1,"Acetobacter estunensis","25"
"49",NA,"","",NA,NA,"","28"
"50",23,"985, R-36330","DSM 19596, LMG 24244",1,1,"Acetobacter fabarum","28"
"51",22,"430A, R-29337","DSM 18895, LMG 23848",1,1,"Acetobacter ghanensis","30"
"52",18,"5H-1","DSM 15552, IFO 16471, JCM 10948, NBRC 16471, NRIC 0313, BCRC 17167, LMG 19824",1,1,"Acetobacter indonesiensis","30"
"53",23489,"R-49742","DSM 27328, LMG 27439",1,1,"Acetobacter lambici","28"
"54",9,"","DSM 4491, ATCC 12875, CCUG 18127, IMET 10734, JCM 17121, LMD 31.2, LMG 1579, LMG 1617, NCIMB 8620, CCM 3606, ICMP 8610, IFO 13753, NBRC 13753, NCCB 31002",1,1,"Acetobacter lovaniensis","28"
"55",13,"","DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,1,"Acetobacter malorum","22-30"
"56",NA,"","",NA,NA,"","28"
"57",NA,"","",NA,NA,"","30"
"58",132413,"Bo7","DSM 23824, CECT 7722",1,1,"Acetobacter musti","28"
"59",20,"RG1","DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,1,"Acetobacter nitrogenifigens","30"
"60",19,"B13","DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,1,"Acetobacter oeni","25"
"61",132838,"B 13","DSM 17891, CECT 5830, LMG 21952",1,1,"Acetobacter oeni","28"
"62",163333,"","JCM 25146, KACC 19723, LMG 26457, NBRC 111467, NRIC 0658",1,1,"Acetobacter okinawensis","30"
"63",16,"21F-2","DSM 15550, IFO 16606, JCM 1195, NBRC 16606, NRIC 0481, CIP 107379",1,1,"Acetobacter orientalis","22-37"
"64",NA,"","",NA,NA,"","30"
"65",8,"","DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463",1,1,"Acetobacter orleanensis","25-30"
"66",NA,"","",NA,NA,"","28"
"67",NA,"","",NA,NA,"","30"
"68",163947,"","JCM 31096, KACC 19301, LMG 31327",1,1,"Acetobacter oryzifermentans","30"
"69",164536,"","JCM 33371, KACC 21201",1,1,"Acetobacter oryzoeni","30"
"70",163331,"","JCM 25143, KACC 19722, LMG 26456, NBRC 111466, NRIC 0655",1,1,"Acetobacter papayae","30"
"71",4,"190","DSM 3509, ATCC 33445, LMD 22.1, JCM 7640, BCRC 14145, CCM 2374, CCUG 18125, CGMCC 1.1810, CIP 103108, ICMP 8808, LMG 1262, NBRC 106471, NCCB 22001, NCIMB 12228, VTT E-97830, IMET 10733",1,1,"Acetobacter pasteurianus","26"
"72",NA,"","",NA,NA,"","30"
"73",163337,"","JCM 25330, KACC 19724, LMG 26458, NBRC 111468, NRIC 0961",1,1,"Acetobacter persici","30"
"74",11,"","DSM 11825, LTH 2458, CIP 105762",1,1,"Acetobacter pomorum","22-37"
"75",NA,"","",NA,NA,"","30"
"76",21,"CWBI-B418","DSM 18889, LMG 23690",1,1,"Acetobacter senegalensis","28-40"
"77",NA,"","",NA,NA,"","35"
"78",14,"9H-2","DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,1,"Acetobacter syzygii","22-37"
"79",NA,"","",NA,NA,"","30"
"80",17,"","DSM 15551, IFO 16470, NBRC 16470, NRIC 0312, JCM 10947, BCRC 17166, LMG 19825",1,1,"Acetobacter tropicalis","30"
"81",5409,"Z-4391, Z-S11","DSM 8239",1,1,"Acetobacterium bakii","20"
"82",5399,"","DSM 2925, WoProp 1",1,1,"Acetobacterium carbinolicum","30"
"83",5408,"Z-4290, Z-M13","DSM 8238",1,1,"Acetobacterium fimetarium","30"
"84",5400,"MuME 1","DSM 4132",1,1,"Acetobacterium malicum","30"
"85",5407,"Z-4092, Z-B12","DSM 8237",1,1,"Acetobacterium paludosum","20"
"86",5411,"Z-4493","DSM 9173",1,1,"Acetobacterium tundrae","20"
"87",5401,"C","DSM 1911, ATCC 43740, JCM 2380",1,1,"Acetobacterium wieringae","30"
"88",5402,"","DSM 1030, ATCC 29683, JCM 2381, WB 1",1,1,"Acetobacterium woodii","30"
"89",131580,"RL-C","DSM 24657, CGMCC 1.5173, JCM 17603",1,1,"Acetobacteroides hydrogenigenes","37"
"90",5978,"Z-7288","DSM 5501, ATCC 49924",1,1,"Acetohalobium arabaticum","37"
