"","group","taxonomy"
"1","aerobic_chemoheterotrophy;cellulolysis;chemoheterotrophy;chitinolysis","Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;fastidiosa"
"2","aerobic_chemoheterotrophy;chemoheterotrophy;ureolysis;xylanolysis","Acidobacteriota;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Pyrinomonas;methylaliphatogenes"
"3","aerobic_chemoheterotrophy;chemoheterotrophy","Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;pedis"
"4","chemoheterotrophy;fermentation","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;alkalitolerans"
"5","chemoheterotrophy;fermentation","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;campi"
"6","chemoheterotrophy;fermentation","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;edaphica"
"7","chemoheterotrophy;fermentation;iron_respiration;manganese_respiration;nitrate_reduction;nitrate_respiration;nitrogen_respiration","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;fermentans"
"8","chemoheterotrophy;fermentation","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;fuzhouensis"
"9","chemoheterotrophy;fermentation","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;limicola"
"10","chemoheterotrophy;fermentation","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;mesophila"
"11","chemoheterotrophy;fermentation","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;oryzae"
"12","chemoheterotrophy;fermentation","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;oryzisoli"
"13","chemoheterotrophy;fermentation","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;paludis"
"14","chemoheterotrophy;fermentation","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;rubra"
"15","chemoheterotrophy;fermentation","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;terrae"
"16","aromatic_compound_degradation;chemoheterotrophy;fermentation;reductive_acetogenesis","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Holophaga;foetida"
"17","chemoheterotrophy","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Mesoterricola;sediminis"
"18","chemoheterotrophy","Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Mesoterricola;silvestris"
