#OTU	ID	taxonomy
1	1.0	Abditibacteriota;Abditibacteriia;Abditibacteriales;Abditibacteriaceae;Abditibacterium;utsteinense
2	1.0	Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva
3	1.0	Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Absicoccus;porci
4	1.0	Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Abyssalbus;ytuae
5	1.0	Pseudomonadota;Gammaproteobacteria;Chromatiales;Oceanococcaceae;Abyssibacter;profundi
6	1.0	Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Abyssibius;alkaniclasticus
7	1.0	Bacillota;Bacilli;Bacillales;Abyssicoccaceae;Abyssicoccus;albus
8	1.0	Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;pedis
9	1.0	NA;NA;NA;NA;NA;NA
10	1.0	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Acerihabitans;arboris
11	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetanaerobacterium;elongatum
12	1.0	Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;aquisgranensis
13	1.0	Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;muris
14	1.0	NA;NA;NA;NA;NA;NA
15	1.0	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Acetilactobacillus;jinshanensis
16	1.0	NA;NA;NA;NA;NA;NA
17	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;aldrichii
18	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;alkalicellulosi
19	1.0	NA;NA;NA;NA;NA;NA
20	1.0	NA;NA;NA;NA;NA;NA
21	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;ethanolgignens
22	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;mesophilus
23	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;saccincola
24	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;straminisolvens
25	1.0	NA;NA;NA;NA;NA;NA
26	1.0	Bacillota;Clostridia;Peptostreptococcales;Filifactoraceae;Acetoanaerobium;noterae
27	1.0	Bacillota;Clostridia;Peptostreptococcales;Filifactoraceae;Acetoanaerobium;pronyense
28	1.0	Bacillota;Clostridia;Peptostreptococcales;Filifactoraceae;Acetoanaerobium;sticklandii
29	1.0	NA;NA;NA;NA;NA;NA
30	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;cerevisiae
31	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;cibinongensis
32	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;conturbans
33	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;estunensis
34	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;fabarum
35	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;fallax
36	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;NA
37	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;garciniae
38	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;ghanensis
39	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;indonesiensis
40	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;lambici
41	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;lovaniensis
42	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;malorum
43	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;musti
44	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;nitrogenifigens
45	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;oeni
46	1.0	NA;NA;NA;NA;NA;NA
47	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;orientalis
48	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;orleanensis
49	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;oryzifermentans
50	1.0	NA;NA;NA;NA;NA;NA
51	1.0	NA;NA;NA;NA;NA;NA
52	1.0	NA;NA;NA;NA;NA;NA
