Phylum,Class,Order,Family,Genus,Species
Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium,mobile
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,gottschalkii
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,millerae
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,olleyae
Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,wolinii
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,bryantii
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,casseliflavus
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,callanderi
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,flavefaciens
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,flavefaciens
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,gallolyticus
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,ruminis
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospira,multipara
Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succiniclasticum,ruminis
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,mucosae
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,innocuum
Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,NA,NA
