Phylum,Class,Order,Family,Genus,Species
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Candidatus Methanomethylophilaceae,Candidatus Methanomethylophilus,NA
Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Candidatus Methanomethylophilaceae,Candidatus Methanomethylophilus,NA
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Actinomycetota,Actinomycetes,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Planctomycetota,NA,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Pseudomonadota,NA,NA,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Elusimicrobiota,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Kandleria,vitulina
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Pseudomonadota,NA,NA,NA,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Sharpea,NA
NA,NA,NA,NA,NA,NA
Lentisphaerota,NA,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
NA,NA,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Actinomycetota,Actinomycetes,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Pseudomonadota,NA,NA,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Negativicutes,Selenomonadales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
NA,NA,NA,NA,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Sharpea,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,NA,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,NA,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
NA,NA,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Actinomycetota,Actinomycetes,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Pseudomonadota,NA,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,NA
Bacillota,NA,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacillota,Negativicutes,Selenomonadales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Pseudomonadota,NA,NA,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,NA,NA,NA,NA,NA
Actinomycetota,Actinomycetes,NA,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Pseudomonadota,NA,NA,NA,NA,NA
Pseudomonadota,NA,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Planctomycetota,NA,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Planctomycetota,NA,NA,NA,NA,NA
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,NA,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Lentisphaerota,NA,NA,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Pseudomonadota,NA,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,NA
Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Lentisphaerota,NA,NA,NA,NA,NA
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,NA
Bacillota,Negativicutes,Selenomonadales,NA,NA,NA
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Negativicutes,Selenomonadales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,NA
Lentisphaerota,NA,NA,NA,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Actinomycetota,Actinomycetes,NA,NA,NA,NA
Actinomycetota,Actinomycetes,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Actinomycetota,Actinomycetes,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,NA
Bacillota,Negativicutes,Selenomonadales,NA,NA,NA
Pseudomonadota,NA,NA,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Dialister,NA
Bacillota,Negativicutes,Selenomonadales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Elusimicrobiota,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
