parent,node,branch.length,label,isTip,x,y,start,end,angle,branch.y,branch,branch.x
3859,1,0.0783931,2651869769,TRUE,1.91059709,0.513427461,0,0.000523149,0.047083442,0.51339525,1.871400554,1.871400554
3859,2,0.159172706,637000179,TRUE,1.99137624,0.513755446,0.000523149,0.001046299,0.141250327,0.513559243,1.911790128,1.911790128
3858,3,0.067332641,2627854156,TRUE,1.868850221,0.513674709,0.001569448,0.002092597,0.329584096,0.513481051,1.835184457,1.835184457
3857,4,0.093134858,2814123101,TRUE,1.834014161,0.513776881,0.002092597,0.002615747,0.423750981,0.513432478,1.787448006,1.787448006
3856,5,0.176819192,2558860179,TRUE,1.619440917,0.513460918,0.002615747,0.003138896,0.517917866,0.512661762,1.531034933,1.531034933
3855,6,0.171699767,644736392,TRUE,1.551600182,0.51338758,0.003138896,0.003662046,0.61208475,0.512470472,1.465755197,1.465755197
3854,7,0.247385919,2519899697,TRUE,1.494209152,0.513837208,0.003662046,0.004185195,0.706251635,0.512312556,1.37052559,1.37052559
3860,8,0.247568162,2561511076,TRUE,1.394347936,0.514279236,0.004185195,0.004708344,0.800418519,0.512550036,1.270575934,1.270575934
3860,9,0.162554201,2558309109,TRUE,1.309338319,0.513358767,0.004708344,0.005231494,0.894585404,0.512089801,1.228071126,1.228071126
3862,10,0.265144304,2556921632,TRUE,1.350185584,0.516869151,0.005231494,0.005754643,0.988752289,0.51458147,1.217633172,1.217633172
3866,11,0.070139987,2561511095,TRUE,1.545267688,0.524245149,0.005754643,0.006277792,1.082919173,0.523582347,1.510203959,1.510203959
3866,12,0.083917317,2576861462,TRUE,1.559039838,0.524643425,0.006277792,0.006800942,1.177086058,0.523781486,1.517090033,1.517090033
3865,13,0.262011773,2565956532,TRUE,1.600791012,0.526362707,0.007324091,0.00784724,1.365419827,0.523240992,1.469822325,1.469822325
3868,14,0.087284654,2561511077,TRUE,1.517617543,0.525203118,0.00784724,0.00837039,1.459586712,0.524091467,1.473989377,1.473989377
3868,15,0.128535797,2630968951,TRUE,1.558849748,0.526465039,0.00837039,0.008893539,1.553753597,0.524722428,1.494605479,1.494605479
3869,16,0.120258642,2563366546,TRUE,1.494208471,0.525460883,0.009416688,0.009939838,1.742087366,0.523632923,1.434106942,1.434106942
3870,17,0.151954761,650377959,TRUE,1.564418787,0.528068076,0.009939838,0.010462987,1.836254251,0.525633517,1.488480422,1.488480422
3871,18,0.101685946,2556921631,TRUE,1.587878078,0.529351236,0.010462987,0.010986137,1.930421135,0.527638549,1.53706396,1.53706396
3873,19,0.019886793,649633071,TRUE,1.647584828,0.531902282,0.010986137,0.011509286,2.02458802,0.531550998,1.637647639,1.637647639
3873,20,0.026124818,646564553,TRUE,1.653817408,0.53216557,0.011509286,0.012032435,2.118754905,0.531682642,1.640763928,1.640763928
3872,21,0.101838523,2561511078,TRUE,1.637051894,0.531880288,0.012555585,0.013078734,2.307088674,0.529830512,1.586173907,1.586173907
3874,22,0.128072174,2512047064,TRUE,1.401486812,0.525308713,0.012032435,0.012555585,2.212921789,0.522836076,1.337498481,1.337498481
3876,23,0.056218245,647000282,TRUE,1.468029725,0.528656417,0.012555585,0.013078734,2.307088674,0.527524873,1.439943387,1.439943387
3876,24,0.075714452,646564554,TRUE,1.487505017,0.529565579,0.013078734,0.013601883,2.401255558,0.527979454,1.449681033,1.449681033
3879,25,0.056456957,2561511074,TRUE,1.537216384,0.533176851,0.014125033,0.014648182,2.589589328,0.531901447,1.509016733,1.509016733
3879,26,0.147570847,2545824614,TRUE,1.628226071,0.53753579,0.014648182,0.015171331,2.683756212,0.534080916,1.554521576,1.554521576
3881,27,0.052630642,2574179742,TRUE,1.528655899,0.533533844,0.015694481,0.01621763,2.872089982,0.532215277,1.502373633,1.502373633
3881,28,0.070202515,2556921629,TRUE,1.546199824,0.534529538,0.01621763,0.016740779,2.966256866,0.532713124,1.511145596,1.511145596
3882,29,0.183627465,2582581322,TRUE,1.626493581,0.539496861,0.017263929,0.017787078,3.154590636,0.534444335,1.534818974,1.534818974
3883,30,0.125352111,2519899818,TRUE,1.59926159,0.538329989,0.017787078,0.018310228,3.24875752,0.534778066,1.536686261,1.536686261
3884,31,0.13714248,2690315627,TRUE,1.663303224,0.542363346,0.018310228,0.018833377,3.342924405,0.538364824,1.594848664,1.594848664
3884,32,0.082650208,2561511083,TRUE,1.608895643,0.539321396,0.018833377,0.019356526,3.43709129,0.536843849,1.567644874,1.567644874
3877,33,0.292424356,2523231014,TRUE,1.646156822,0.542044167,0.018833377,0.019356526,3.43709129,0.533278369,1.500207647,1.500207647
3887,34,0.079978258,2675903698,TRUE,1.525028752,0.540272453,0.018310228,0.018833377,3.342924405,0.537940609,1.485107668,1.485107668
3887,35,0.072746264,2681812810,TRUE,1.517801994,0.539970092,0.018833377,0.019356526,3.43709129,0.537789429,1.481494289,1.481494289
3888,36,0.087584809,2556921098,TRUE,1.512917354,0.540215255,0.019879676,0.020402825,3.625425059,0.537446113,1.469212588,1.469212588
3888,37,0.124043164,646311946,TRUE,1.549289688,0.542724089,0.020402825,0.020925974,3.719591943,0.53870053,1.487398755,1.487398755
3889,38,0.203577166,2585428149,TRUE,1.535351178,0.543888115,0.020925974,0.021449124,3.813758828,0.537117799,1.433788003,1.433788003
3889,39,0.21033938,2773857805,TRUE,1.54207514,0.544682806,0.021449124,0.021972273,3.907925713,0.537515145,1.437149985,1.437149985
3851,40,0.310355481,2574179741,TRUE,1.264749032,0.528142899,0.020925974,0.021449124,3.813758828,0.517821483,1.109914929,1.109914929
3850,41,0.329727099,637000180,TRUE,1.238273523,0.528429458,0.021449124,0.021972273,3.907925713,0.517193463,1.073793304,1.073793304
3891,42,0.276522459,2540341221,TRUE,1.459788995,0.558495629,0.021972273,0.022495422,4.002092597,0.548845976,1.321864916,1.321864916
3892,43,0.453746353,648231715,TRUE,1.682230985,0.574994776,0.022495422,0.023018572,4.096259482,0.558788697,1.455937368,1.455937368
3893,44,0.069696491,2563366544,TRUE,1.492011702,0.562124347,0.023018572,0.023541721,4.190426367,0.559577932,1.457256616,1.457256616
3893,45,0.104882745,2561511236,TRUE,1.527091154,0.564867367,0.023541721,0.024064871,4.284593251,0.560949442,1.474796342,1.474796342
3895,46,0.204422149,2565956531,TRUE,1.564808152,0.57113793,0.02458802,0.025111169,4.472927021,0.563166689,1.462908382,1.462908382
3896,47,0.00080676,641522658,TRUE,1.573763977,0.57254098,0.025111169,0.025634319,4.567093905,0.57250886,1.573361878,1.573361878
3896,48,0.003043926,645951872,TRUE,1.575993637,0.572724104,0.025634319,0.026157468,4.66126079,0.572600422,1.574476708,1.574476708
3894,49,0.389007582,2513237307,TRUE,1.429902868,0.562359256,0.026680617,0.027203767,4.849594559,0.545915835,1.23609539,1.23609539
3899,50,0.114062138,2751185804,TRUE,0.992987078,0.53803831,0.026157468,0.026680617,4.755427675,0.533310285,0.93615233,0.93615233
3900,51,0.007276757,2554235381,TRUE,1.001054255,0.53910044,0.026680617,0.027203767,4.849594559,0.538792851,0.997428901,0.997428901
3900,52,0.007480572,2554235371,TRUE,1.001256291,0.539129921,0.027203767,0.027726916,4.943761444,0.538807591,0.997529919,0.997529919
3901,53,0.007695839,2639762768,TRUE,0.940573045,0.534426201,0.028250065,0.028773215,5.132095213,0.534081996,0.936740551,0.936740551
3901,54,0.00711671,2630968436,TRUE,0.939995182,0.534386045,0.028773215,0.029296364,5.226262098,0.534061918,0.93645162,0.93645162
3903,55,0.125529618,2558860238,TRUE,0.974569145,0.543520056,0.029296364,0.029819513,5.320428982,0.537700151,0.912074746,0.912074746
