abbreviation,equation,direction,officialName,geneAssociation,subsystem,reaction_ID,Enzyme,Genes
Formylmethanofuran dehydrogenase,Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,Bidirectional,1.2.7.12,"K00200, K00201, K00202, K00203, K11261, K00205",Methanogenesis  with CO2,R03015,"FwdA, FwdB, FwdC, FwdD, FwdE, FwdF","fwdA, fwdB, fwdC, fwdD, fwdE, fwdF"
Formylmethanofuran dehydrogenase,Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,Bidirectional,1.2.7.12,"K00200, K00201, K00202, K00203, K11261, K11260",Methanogenesis  with CO2,R03015,"FwdA, FwdB, FwdC, FwdD, FwdE, FwdG","fwdA, fwdB, fwdC, fwdD, fwdE, fwdG"
Formylmethanofuran dehydrogenase,Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,Bidirectional,1.2.7.12,"K00200, K00201, K00202, K00203, K11261, K00204",Methanogenesis  with CO2,R03015,"FwdA, FwdB, FwdC, FwdD, FwdE, FwdH","fwdA, fwdB, fwdC, fwdD, fwdE, fwdH"
Formylmethanofuran dehydrogenase,Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,Bidirectional,1.2.7.12,"K00202, K00203, K11261, K00205",Methanogenesis  with CO2,R11743,"FwdC, FwdD, FwdE, FwdF","fwdA, fwdB, fwdC, fwdD, fwdE, fwdF"
Formylmethanofuran dehydrogenase,Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,Bidirectional,1.2.7.12,"K00202, K00203, K11261, K11260",Methanogenesis  with CO2,R11743,"FwdC, FwdD, FwdE, FwdG","fwdA, fwdB, fwdC, fwdD, fwdE, fwdG"
Formylmethanofuran dehydrogenase,Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,Bidirectional,1.2.7.12,"K00202, K00203, K11261, K00204",Methanogenesis  with CO2,R11743,"FwdC, FwdD, FwdE, FwdH","fwdA, fwdB, fwdC, fwdD, fwdE, fwdH"
"Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase","Formylmethanofuran + 5,6,7,8-Tetrahydromethanopterin <=> Methanofuran + 5-Formyl-5,6,7,8-tetrahydromethanopterin",Bidirectional,2.3.1.101,K00672,Methanogenesis  with CO2,R03390,Ftr,ftr
Methenyltetrahydromethanopterin cyclohydrolase,"5,10-Methenyltetrahydromethanopterin + H2O <=> 5-Formyl-5,6,7,8-tetrahydromethanopterin + H+",Bidirectional,3.5.4.27,K01499,Methanogenesis  with CO2,R03464,Mch,mch
Methylenetetrahydromethanopterin dehydrogenase,"5,10-Methylenetetrahydromethanopterin + Coenzyme F420 + H+ <=> 5,10-Methenyltetrahydromethanopterin + Reduced coenzyme F420",Bidirectional,1.5.98.1,K00319,Methanogenesis  with CO2,R04456,Mtd,mtd
"5,10-Methenyltetrahydromethanopterin hydrogenase","5,10-Methenyltetrahydromethanopterin + Hydrogen <=> 5,10-Methylenetetrahydromethanopterin + H+",Bidirectional,1.12.98.2,K13942,Methanogenesis  with CO2,R04455,Hmd,hmd
