Genome,Database_ID
R1,HydDB_[FeFe]_Group_A1
R1,HydDB_[NiFe]_Group_1a
R1,HydDB_[NiFe]_Group_4g
R1,HydDB_[NiFe]_Group_4g
R1,K00001
R1,K00003
R1,K00003
R1,K00003
R1,K00003
R1,K00003
R1,K00005
R1,K00010
R1,K00010
R1,K00010
R1,K00010
R1,K00013
R1,K00014
R1,K00014
R1,K00016
R1,K00016
R1,K00027
R1,K00027
R1,K00027
R1,K00027
R1,K00040
R1,K00040
R1,K00041
R1,K00041
R1,K00057
R1,K00057
R1,K00058
R1,K00058
R1,K00058
R1,K00058
R1,K00059
R1,K00059
R1,K00059
R1,K00067
R1,K00074
R1,K00074
R1,K00075
R1,K00075
R1,K00077
R1,K00077
R1,K00086
R1,K00088
R1,K00088
R1,K00096
R1,K00096
R1,K00096
R1,K00096
R1,K00096
R1,K00096
R1,K00099
R1,K00099
R1,K00099
R1,K00100
R1,K00104
R1,K00104
R1,K00111
R1,K00111
R1,K00111
R1,K00111
R1,K00111
R1,K00111
R1,K00121
R1,K00121
R1,K00121
R1,K00128
R1,K00132
R1,K00133
R1,K00133
R1,K00133
R1,K00133
R1,K00134
R1,K00134
R1,K00145
R1,K00145
R1,K00147
R1,K00169
R1,K00169
R1,K00170
R1,K00171
R1,K00172
R1,K00198
R1,K00215
R1,K00215
R1,K00215
R1,K00215
R1,K00230
R1,K00243
R1,K00243
R1,K00244
R1,K00248
R1,K00248
R1,K00248
R1,K00248
R1,K00248
R1,K00248
R1,K00259
R1,K00259
R1,K00260
R1,K00260
R1,K00260
R1,K00260
R1,K00262
R1,K00262
R1,K00266
R1,K00266
R1,K00286
R1,K00286
R1,K00298
R1,K00298
R1,K00334
R1,K00336
R1,K00336
R1,K00336
R1,K00336
R1,K00336
R1,K00337
R1,K00382
R1,K00382
R1,K00382
R1,K00384
R1,K00385
R1,K00385
R1,K00385
R1,K00433
R1,K00433
R1,K00459
R1,K00525
R1,K00525
R1,K00528
R1,K00528
R1,K00537
R1,K00548
R1,K00548
R1,K00548
R1,K00548
R1,K00554
R1,K00558
R1,K00566
R1,K00566
R1,K00566
R1,K00566
R1,K00567
R1,K00567
R1,K00574
R1,K00575
R1,K00575
R1,K00588
R1,K00595
R1,K00595
R1,K00595
R1,K00595
R1,K00602
R1,K00602
R1,K00603
R1,K00603
R1,K00603
R1,K00603
R1,K00604
R1,K00604
R1,K00604
R1,K00604
R1,K00609
R1,K00609
R1,K00611
R1,K00611
R1,K00615
R1,K00615
R1,K00615
R1,K00616
R1,K00620
R1,K00625
R1,K00626
R1,K00626
R1,K00634
R1,K00638
R1,K00640
R1,K00645
R1,K00648
R1,K00648
R1,K00655
R1,K00655
R1,K00656
R1,K00656
R1,K00657
R1,K00657
R1,K00657
R1,K00657
R1,K00661
R1,K00661
R1,K00681
R1,K00688
R1,K00703
R1,K00703
R1,K00752
R1,K00754
R1,K00754
R1,K00756
R1,K00756
R1,K00756
R1,K00757
R1,K00757
R1,K00757
R1,K00759
R1,K00759
R1,K00760
R1,K00760
R1,K00761
R1,K00762
R1,K00762
R1,K00763
R1,K00763
R1,K00763
R1,K00764
R1,K00764
R1,K00765
R1,K00768
R1,K00772
R1,K00773
R1,K00773
R1,K00783
R1,K00784
R1,K00788
R1,K00789
R1,K00789
R1,K00789
R1,K00789
R1,K00789
R1,K00789
R1,K00790
R1,K00790
R1,K00791
R1,K00793
R1,K00794
R1,K00796
R1,K00797
R1,K00797
R1,K00797
R1,K00798
R1,K00800
R1,K00805
R1,K00806
R1,K00806
R1,K00806
R1,K00812
R1,K00812
R1,K00812
R1,K00817
R1,K00820
R1,K00820
R1,K00821
R1,K00826
R1,K00833
R1,K00845
R1,K00847
R1,K00849
R1,K00849
R1,K00849
R1,K00850
R1,K00852
R1,K00853
R1,K00853
R1,K00854
R1,K00854
R1,K00854
R1,K00854
R1,K00857
R1,K00858
R1,K00858
R1,K00859
R1,K00864
R1,K00864
R1,K00864
R1,K00864
R1,K00865
R1,K00868
R1,K00872
R1,K00872
R1,K00873
R1,K00873
R1,K00873
R1,K00873
R1,K00874
R1,K00876
R1,K00876
R1,K00878
R1,K00878
R1,K00881
R1,K00891
R1,K00901
R1,K00901
R1,K00919
R1,K00919
R1,K00925
R1,K00927
R1,K00928
R1,K00928
R1,K00928
R1,K00928
R1,K00928
R1,K00928
R1,K00928
R1,K00928
R1,K00928
R1,K00928
R1,K00929
R1,K00930
R1,K00931
R1,K00931
R1,K00936
R1,K00936
R1,K00936
R1,K00939
R1,K00939
R1,K00940
R1,K00941
R1,K00941
R1,K00942
R1,K00943
R1,K00945
R1,K00948
R1,K00948
R1,K00948
R1,K00949
R1,K00949
R1,K00954
R1,K00954
R1,K00962
R1,K00962
R1,K00962
R1,K00962
R1,K00962
R1,K00963
R1,K00963
R1,K00965
R1,K00965
R1,K00965
R1,K00969
R1,K00969
R1,K00971
R1,K00973
R1,K00974
R1,K00974
R1,K00974
R1,K00974
R1,K00975
R1,K00975
R1,K00981
R1,K00986
R1,K00986
R1,K00986
R1,K00986
R1,K00991
R1,K00991
R1,K00995
R1,K00995
R1,K00997
R1,K00997
R1,K01000
R1,K01000
R1,K01000
R1,K01005
R1,K01005
R1,K01006
R1,K01006
R1,K01006
R1,K01008
R1,K01008
R1,K01009
R1,K01009
R1,K01012
R1,K01012
R1,K01012
R1,K01012
R1,K01026
R1,K01034
R1,K01035
R1,K01042
R1,K01042
R1,K01046
R1,K01046
R1,K01056
R1,K01066
R1,K01069
R1,K01071
R1,K01081
R1,K01092
R1,K01101
R1,K01101
R1,K01101
R1,K01101
R1,K01101
R1,K01101
R1,K01104
R1,K01104
R1,K01114
R1,K01118
R1,K01126
R1,K01126
R1,K01139
R1,K01139
R1,K01139
R1,K01139
R1,K01139
R1,K01142
R1,K01142
R1,K01151
R1,K01153
R1,K01153
R1,K01153
R1,K01153
R1,K01153
R1,K01153
R1,K01153
R1,K01153
R1,K01154
R1,K01154
R1,K01154
R1,K01156
R1,K01156
R1,K01163
R1,K01187
R1,K01187
R1,K01200
R1,K01200
R1,K01207
R1,K01243
R1,K01258
R1,K01258
R1,K01258
R1,K01258
R1,K01259
R1,K01262
R1,K01262
R1,K01265
R1,K01265
R1,K01265
R1,K01266
R1,K01267
R1,K01270
R1,K01270
R1,K01271
R1,K01271
R1,K01273
R1,K01286
R1,K01304
R1,K01308
R1,K01308
R1,K01308
R1,K01338
R1,K01338
R1,K01338
R1,K01338
R1,K01338
R1,K01338
R1,K01338
R1,K01338
R1,K01338
R1,K01338
R1,K01338
R1,K01356
R1,K01356
R1,K01358
R1,K01358
R1,K01409
R1,K01409
R1,K01421
R1,K01421
R1,K01421
R1,K01421
R1,K01421
R1,K01421
R1,K01421
R1,K01421
R1,K01421
R1,K01421
R1,K01421
R1,K01424
R1,K01424
R1,K01425
R1,K01439
